5,2026-05-25 11:00:00.000000,"Сбер страхование, тех собес",Собес в дискорде
6,2026-05-25 14:00:00.000000,Собеседование mango office,Собес в дискорде 2
7,2026-05-31 00:00:00.000000,"",День рождения
9,2026-06-01 10:15:00.000000,"",Запись к лору володарск
10,2026-06-01 00:00:00.000000,"",Заполнить данные по финансам
11,2026-05-27 08:30:00.000000,"mango, знакомство с командой",Собес в диске
12,2026-05-27 00:00:00.000000,"",День рождения Антохи
13,2026-05-30 00:00:00.000000,"",День рождения Никиты
14,2026-05-30 19:00:00.000000,"",Финал ЛЧ
15,2026-06-12 00:00:00.000000,"",День России
16,2026-05-30 00:00:00.000000,"",День города Дзержинск
17,2026-05-31 00:00:00.000000,"",Оплатить домашний интернет
18,2026-06-04 18:00:00.000000,"",Игра EpicGames
19,2026-05-31 07:00:00.000000,"Подготовить планирование на следующую неделю, месяц",Планы
8,2026-05-29 13:00:00.000000,Номер телефона 7 831 288-38-88,Позвонить в аквилио спросить по справке для налогового вычета
20,2026-06-12 10:00:00.000000,При вычете по расходом на медицину у кнопки загрузить справку должна появится справка для получения налогового вычета,Проверить справку вычета мед
21,2026-05-31 10:00:00.000000,"Сгоняю чисто в термы, с собой надо взять бутылку воды, шлепки и полотенце. По еде хз.",Океанис
22,2026-06-03 14:00:00.000000,"",Праздную днюху
23,2026-06-07 07:00:00.000000,Нужно подготовить план работ на следующую неделю,Подготовить план
24,2026-06-01 17:00:00.000000,"проспект Циолковского, 26",Запись к бабреру
25,2026-06-02 07:00:00.000000,Записаться на прием к лору в володарске,Записаться на прием
49,2026-06-19 15:00:00.000000,"",В диске собес в мтс
27,2026-06-11 08:00:00.000000,"Посмотреть как идет план по изучению английского если все ок оставить, если что-то не так поредактировать.",Пересмотр английского
28,2026-06-20 08:00:00.000000,https://www.nntu.ru/content/abiturientam/abiturient2026/podacha-dokumentov,Начало подачи документов в ВУЗ
29,2026-06-15 03:00:00.000000,"",Турнир в белом доме
30,2026-07-29 00:00:00.000000,Последний день для ответа на вычет по инвестициям,Вычет за инвестиции
31,2026-06-11 00:00:00.000000,"",Чемпионат мира по футболу
32,2026-06-07 09:15:00.000000,"",Поездка в Нижний
34,2026-06-13 11:00:00.000000,В телеге списаться и поболтать,Тренировка собеса
33,2026-06-12 11:00:00.000000,В телеге списаться и поболтать. Заигнорили.,Тренировка собеса
35,2026-06-16 11:00:00.000000,"",Пробный собес
36,2026-06-17 11:00:00.000000,"",Созвон с HR
52,2026-06-22 12:30:00.000000,"",Собес МТС
38,2026-06-23 13:00:00.000000,"",Прием в ЦЗН
39,2026-06-26 10:30:00.000000,"",Прием в ЦЗН
40,2026-06-18 09:30:00.000000,"",Поход в ЦЗН
37,2026-06-18 12:00:00.000000,"",Созвон с HR
41,2026-06-19 13:00:00.000000,"Адрес места работы:  Нижегородская область, Город Дзержинск, Зеленая улица, 10

Позвонить по телефону 89875020531",Съездить в АО НИПОМ
42,2026-06-19 14:00:00.000000,"Номер +7(904) 917-27-43
Адрес: Нижегородская область, Город Дзержинск, Зеленая улица, дом: Д.6",Съездить в кристал
43,2026-06-19 11:00:00.000000,"",Созвон с HR
44,2026-06-19 00:00:00.000000,"",Бесплатный заказ во вкусно и точка
45,2026-06-26 00:00:00.000000,"",Бесплатный заказ во вкусно и точка
46,2026-07-03 00:00:00.000000,"",Бесплатный заказ во вкусно и точка
47,2026-07-10 00:00:00.000000,"",Бесплатный заказ во вкусно и точка
48,2026-07-17 00:00:00.000000,"",Бесплатный заказ во вкусно и точка
51,2026-06-21 09:00:00.000000,"",Пробный собес
54,2026-06-21 07:00:00.000000,"",Планирование
55,2026-06-24 09:45:00.000000,"",Созвон с HR
50,2026-06-20 10:00:00.000000,"Хз что но похуй зайду, на что-то договорился сам не понял",Какая та встреча с 2HR
53,2026-06-23 14:00:00.000000,"",Подать документы в ВУЗ
57,2026-06-26 14:00:00.000000,"",Созвон с HR
58,2026-06-25 16:00:00.000000,"",Собес диск
59,2026-06-26 13:30:00.000000,"",Пройти собес с ИИ
60,2026-06-28 07:00:00.000000,"На следующую неделю, на месяц и квартал",Подготовить план
61,2026-06-28 10:00:00.000000,"",Пробный собес
62,2026-06-30 07:00:00.000000,"",Подвести итоги за июнь
63,2026-07-20 08:00:00.000000,"",Вступительные экзамены
64,2026-07-02 14:00:00.000000,"",Тех. собеседование
65,2026-06-30 12:30:00.000000,"",Собес диск
67,2026-07-04 12:00:00.000000,"",Пробный собес
68,2026-07-01 07:00:00.000000,"",Заполнить данные по финансам
69,2026-07-06 12:00:00.000000,"",Тех. собеседование
70,2026-07-03 14:00:00.000000,"",Собес диск
71,2026-07-08 11:30:00.000000,"Обсуждение сотрудничества: уровень зп, трудоустройство, формат работы, подробности проекта и тд. Можете уточнить все интересующие вас вопросы, которые могут вам по выбору следующего места работы.",Собеседование
56,2026-07-07 11:00:00.000000,На улице плохая погода решил не идти,Запись в аквилио
72,2026-07-09 11:00:00.000000,"",Собес
73,2026-07-10 10:00:00.000000,"",Собес
74,2026-07-13 10:30:00.000000,ул. Новая 28,Новая работа
75,2026-08-12 09:30:00.000000,"12.08, 09:30 — 12.08, 14:00",Математика в технике и технологиях
76,2026-08-14 09:30:00.000000,"14.08, 09:30 — 14.08, 14:00",Русский язык
77,2026-08-17 09:30:00.000000,"17.08, 09:30 — 17.08, 14:00","Информатика, алгоритмизация и программирование"
78,2026-08-18 09:30:00.000000,"18.08, 09:30 — 18.08, 14:00",Общая физика
