196,"Чтобы мне нужно было меньше врать и опыт стыковался, нужно соединить опыт по ИП с прошлой работой. ",HIGH,4,Подделать опыт под ИП,20,2026-06-09,2026-06-11
131,Сделать на сайте кнопку по который я буду получать данные по продуктам за неделю и готовый промпт для того чтобы отдать ии,MEDIUM,1,Промпт для питания,8,2026-05-30,2026-05-30
132,"Создать топ книг которые я читал с краткой мыслью о чем и чем помогла, что-то типа топа игр, фильмов, но лучше. И думаю оформить как-то на сайте мб",,0,Топ прочитанных книг,33,2026-05-30,
76,https://www.youtube.com/watch?v=cttqXct364k&list=PLiAMYa-REsQTUc4xqetKhTUz1agkJtPyt&index=6,LOW,5,Посмотреть 5 урок,32,2026-05-29,2026-06-02
19,"Выписать все что я хочу видеть в разделе с финансами и что он мне должен подсказывать, пока для меня это куча парсинга с разных сайтов для получения разных курсов и советы по распределению портфеля",URGENT,6,Продумать раздел с финансами,8,2026-05-24,2026-06-06
6,"",,2,Интеграция с дискордом,5,2026-05-24,
119,"Добавить индексы для бд и проверить скорость работы до добавления индекса и после, понять куда стоит добавлять, а куда нет и вообще разобраться как ускорять работу бд.",MEDIUM,14,"Индекс, EXPLAIN",20,2026-05-30,2026-06-04
124,"Просто потрогать , мне кажется это фигня в стримах.
Потрогал довольно интересная вещь если в одном потоке все делается, то это буквально одно и тоже, но если паралельные потоки, то findFirst нужно ожидать и проверять результаты все потоков.",LOW,19,FindFirst vs findAny,20,2026-05-30,2026-06-01
49,"Нужно отображать закрытые задачи только за последние 7 дней, чтобы столбец не был бесконечным",LOW,2,Отображение закрытых задач,8,2026-05-29,2026-05-30
14,"Убрать рандомайзеры с главной страницы, удалил их полностью",LOW,3,Убрать рандомайзеры,8,2026-05-24,2026-05-29
15,"Подключить мониторинг для приложения, типа графаны",HIGH,5,Подключить мониторинг,8,2026-05-24,2026-05-29
44,"",MEDIUM,6,Подключить Redis,8,2026-05-27,2026-05-28
11,Оставить в ключевой ставке только один id по актульной дате и пусть она будет одна в день загрузки,LOW,7,id ключевая ставка,8,2026-05-24,2026-05-28
134,"",HIGH,24,Подготовить сопроводительное письмо.,20,2026-05-31,2026-06-01
246,Разобрать демонстрационный вариант по русскому.,LOW,11,Разобрать 8 задачу по русском,40,2026-06-28,2026-06-30
42,"",MEDIUM,9,Добавить миграции liqibase,8,2026-05-26,2026-05-28
120,Потрогать понять что делают,LOW,13,"UNION, UNION ALL",20,2026-05-30,2026-06-02
16,Добавить календарь с возможностью добавления событий и их отслеживание,LOW,17,Добавить календарь,8,2026-05-24,2026-05-28
23,"Добавить под канбаном календарь с мероприятиями, при нажати на который добавляется объектом с мероприятием",LOW,18,Календарь с мероприятиями,8,2026-05-24,2026-05-28
298,"",MEDIUM,0,Прикрепиться на другую поликлинику,41,2026-07-08,
232,"Разобрать демонстрационный вариант по русскому, математике и физике.",MEDIUM,14,Разобрать третью задачу,40,2026-06-25,2026-06-27
121,"Я уже юзал его в стримах, но надо еще попрактиковать + посмотреть бы какой-нибудь видос",LOW,19,GroupingBy,20,2026-05-30,2026-06-02
133,"Если план уже не актуален, то отправляем его в архив проверяя дату.",MEDIUM,1,Планирование в архив,8,2026-05-31,2026-06-12
110,"Поиспользовать в приложении на методе и блокить, понять как, что блокируется, попробовать по применять в моем приложение если будет возможность.",LOW,12,Synchronized,20,2026-05-30,2026-06-05
5,Получать главные события в мире на этот день/неделе (хз чет не очень идея),,3,События в мире,5,2026-05-24,
17,Добавить страницу с возможность парсинга цен на квартиры.,URGENT,4,Отслеживания цен на квартиры,8,2026-05-24,2026-07-03
229,"Разобрать демонстрационный вариант по русскому, математике и физике.",MEDIUM,11,Разобрать вторую задачу,40,2026-06-24,2026-06-25
243,Задачи можно удобно клонировать.,MEDIUM,5,Добавить возможность клонирования задач,8,2026-06-28,2026-07-03
228,"Разобрать демонстрационный вариант по русскому, математике и физике.",LOW,10,Разобрать первую задачу,40,2026-06-23,2026-06-24
118,Понять зачем нужны подзапросы попробовать написать несколько штук и немного теории,MEDIUM,14,Написать подзапросы,20,2026-05-30,2026-06-02
92,https://www.youtube.com/watch?v=Uy7WgILnM0A&list=PLiAMYa-REsQTUc4xqetKhTUz1agkJtPyt&index=22,LOW,2,Посмотреть 21 урок,29,2026-05-29,
222,"Добавляю не знакомые слова в анки
Смотрю сериал EXTRA сначала с субтитрами, следующий день без субтитров
Разговариваю с GPT 10 минут.
Смотрю одно любое видео на английском.",MEDIUM,4,День 14,28,2026-06-21,2026-06-23
32,"",MEDIUM,11,Подключить sonarqube,8,2026-05-25,2026-05-28
31,"",MEDIUM,12,Подключить Github,8,2026-05-25,2026-05-28
117,Пописать с ними запросы и понять в чем точное отличие.,LOW,15,"Отличие HAVING, WHERE",20,2026-05-30,2026-06-02
40,Настроить для помощи в собеседованиях и ответы на вопросы,LOW,9,Настроить ии для ответов,20,2026-05-25,2026-06-14
93,https://www.youtube.com/watch?v=UiXafLlk0kA&list=PLiAMYa-REsQTUc4xqetKhTUz1agkJtPyt&index=23,LOW,3,Посмотреть 22 урок,29,2026-05-29,
70,"",URGENT,3,19 подтягиваний,21,2026-05-29,
71,"",URGENT,4,20 подтягиваний,21,2026-05-29,
230,Между вкладом и картой не хватает накопительного счета для разделение по типу,LOW,2,Добавить накоп счет,8,2026-06-24,2026-06-25
105,"Если задача выполнена, она переходит в архив и будет доступна, только если отключить фильтр",MEDIUM,2,Добавить архив для промежуточных метрик,8,2026-05-30,2026-06-12
111,Пописать в приложении понять что как работает,LOW,11,Volatile,20,2026-05-30,2026-06-05
21,Добавить переход проекта в архив если он завершен,LOW,4,Проект в архив,8,2026-05-24,2026-06-11
36,"",HIGH,16,Сделать 5 откликов,20,2026-05-25,2026-05-28
24,У проекта и у задач внутри проекта должна быть видна дата создания,LOW,14,Дата создания,8,2026-05-24,2026-05-28
33,"",URGENT,17,Обновить фото в телеграме,20,2026-05-25,2026-05-28
30,"",MEDIUM,4,Подключить Swagger,8,2026-05-25,2026-05-29
109,По создавать потоки попровать позапускать разные методы понять в чем отличия.,LOW,13,"Thread, Runnable",20,2026-05-30,2026-06-05
25,"Добавить тогл выполнения задачи в сущности таски и добавить отслеживание сколько выполнено задач все за неделю, за месяц",MEDIUM,8,Тогл выполнение задачи,8,2026-05-24,2026-05-28
35,"Проставить галочки если понимаю что это закрыто и не нужно обращать внимание, завести недостающие задачи",URGENT,23,Пройтись по промежуточным метрикам,20,2026-05-25,2026-05-30
38,Выучить наизусть почему ушли и рассказать себе перед зеркалом,MEDIUM,18,Почему ушли?,20,2026-05-25,2026-05-28
37,Научиться рассказывать перед зеркалом,URGENT,19,Выучить легенду о себе и проекте,20,2026-05-25,2026-05-28
41,Найти площадки для поиска работы помимо hh,LOW,5,Площадки для поиска,20,2026-05-25,2026-06-28
